ProductId,ReviewCount,Title,Category
B007JFMH8M,913,N/A,N/A
B0026RQTGE,632,N/A,N/A
B002QWHJOU,632,"Greenies Weight Management Teenie Natural Dog Dental Care Chews Weight Control Dog Treats, 27 oz. Pack (96 Treats)","Pet Supplies > Dogs > Treats > Cookies, Biscuits & Snacks"
B002QWP89S,632,"Greenies Weight Management Regular Natural Dog Dental Care Chews Weight Control Dog Treats, 27 oz. Pack (27 Treats) Original 27 Ounce (Pack of 1)","Pet Supplies > Dogs > Treats > Cookies, Biscuits & Snacks"
B002QWP8H0,632,"Greenies Weight Management Petite Natural Dog Dental Care Chews Weight Control Dog Treats, 27 oz. Pack (45 Treats) 1.69 Pound (Pack of 1)","Pet Supplies > Dogs > Treats > Cookies, Biscuits & Snacks"
B003B3OOPA,623,"Nature's Way Organic Extra Virgin Coconut Oil, Pure and Unrefined, 62% MCTs, 16 Oz 1 Pound (Pack of 1)","Health, Household & Baby Care > Grocery & Gourmet Food > Pantry Staples > Cooking & Baking > Cooking Oils, Vinegars & Sprays > Oils > Coconut"
B001EO5Q64,567,"Nutiva Organic Coconut Oil, Cold-Pressed, Unrefined Cooking Oil, Natural Hair Oil, Skin Oil, Massage Oil, USDA Organic, Extra Virgin Coconut Oil (Aceite de Coco) 15 Fl Oz (Pack of 2)","Grocery & Gourmet Food > Pantry Staples > Cooking & Baking > Cooking Oils, Vinegars & Sprays > Oils > Coconut"
B0026KPDG8,564,N/A,N/A
B000VK8AVK,564,N/A,N/A
B006HYLW32,564,"Popchips, Sweet Potato, 0.8-Ounce Single Serve Bags (Pack of 24)",Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato
B007M83302,564,"Popchips Thai Potato hips, Sweet Chili, 0.8-Ounce (Pack of 24)",Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato
B007M832YY,564,"Popchips Thai Potato Chips, Sweet Chili, 3-Ounce (Pack of 12)",Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato
B001RVFEP2,564,"Popchips, Salt & Pepper, 0.8-Ounce Single Serve Bags (Pack of 24)",Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato
B001RVFERK,564,Popchips Sea Salt & Vinegar Potato Chips Single Serve 0.8 oz Bags (Pack of 24),Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato
B0026KNQSA,564,Popchips Sour Cream & Onion Potato Chips Single Serve 0.8 oz Bags (Pack of 24) Sour Cream & Onion 0.8 Ounce (Pack of 24),Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato
B0013NUGDE,564,"Popchips, Sea Salt & Vinegar, 3-Ounce Bags (Pack of 12)",Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato
B000KV7ZGQ,556,"PetSafe Busy Buddy Tug-A-Jug - Treat-Dispensing Dog Toy - Slow Down Eating - 2 Cup Capacity - Lower Separation Anxiety - Cleans Teeth - Easy to Wash - Multi-Sensory Stimulation - Purple, M/L Purple Medium/Large",Pet Supplies > Dogs > Toys > Ropes
B000KV61FC,556,PetSafe Busy Buddy Tug-A-Jug Dog Toy – Slow Feeder and Trainer – Small,Pet Supplies > Dogs > Toys > Ropes
B0013A0QXC,542,"Senseo Coffee Pods, Espresso,16 Count (Pack of 6) Espresso 16 Count (Pack of 6)",Grocery & Gourmet Food > Beverages > Coffee > Single-Serve Capsules & Pods
B005K4Q1YA,542,"Grove Square Cappuccino Pods, French Vanilla, Single Serve , 24 Count (Pack of 1) French Vanilla 24 Count (Pack of 1)",Grocery & Gourmet Food > Beverages > Coffee > Single-Serve Capsules & Pods
B000NMJWZO,542,"Pamela's Gluten Free Baking and Pancake Mix, Waffles, Cake & Cookies Too, 4-Pound Bag (Pack of 3) Baking & Pancake 64 Ounce (Pack of 3)",Grocery & Gourmet Food > Pantry Staples > Cooking & Baking > Baking Mixes > Pancakes & Waffles
B005K4Q34S,542,N/A,N/A
B005K4Q37A,542,N/A,N/A
B000UBD88A,542,SENSEO Coffee Pods,Grocery & Gourmet Food > Beverages > Coffee > Single-Serve Capsules & Pods
B005K4Q4LK,542,N/A,N/A
B003GTR8IO,530,"Starbucks Natural Fusions Vanilla Ground Coffee, 11 Ounce (Pack of 2) Velvety and Rich 11 Ounce (Pack of 2)",Grocery & Gourmet Food > Beverages > Coffee > Ground Coffee
